"Measures","CO2e  (t)","CO2e  (t)-12 Mth Avg","Proportion (%)","Variance (%)","Start Period","End Period"
"Electricity [kWh]","76979.2961","79632.8689","67.57","-3.33","Oct 2021","Sep 2022"
"Natural Gas [cf]","14099.5069","13262.6927","12.37","6.3","Oct 2021","Sep 2022"
"Natural Gas [therms]","9618.1609","9431.0403","8.44","1.98","Oct 2021","Sep 2022"
"Refrigerant HFC-143a [kg]","5947","5415.6333","5.22","9.81","Oct 2021","Sep 2022"
"Refrigerant R22 [kg]","4937.2382","4811.5566","4.33","2.61","Oct 2021","Sep 2022"
"Steam [therms]","1182.5376","1202.7498","1.03","-1.68","Oct 2021","Sep 2022"
"Natural Gas [GJ]","635.3697","668.7316","0.55","-4.98","Oct 2021","Sep 2022"
"Steam [MMBtu]","485.1956","476.1567","0.42","1.89","Oct 2021","Sep 2022"
"Diesel Transport [gal]","294.8408","308.0921","0.25","-4.3","Oct 2021","Sep 2022"
"Business flights [miles]","68.0894","73.042","0.05","-6.78","Oct 2021","Sep 2022"
"Diesel Stationary [L]","28.5328","27.1388","0.02","5.13","Oct 2021","Sep 2022"
"Paper [kg]","4.2337","4.2421","0","-0.19","Oct 2021","Sep 2022"
"Electricity - Green [kWh]","-356.801","-356.9899","-0.31","-0.05","Oct 2021","Sep 2022"
