"Date","CO2e (t)","CO2e (t)-Previous Period","Variance (%)","Floor space m2","Floor space m2-Previous Period","CO2e (t)/Floor space m2","CO2e (t)/Floor space m2-Previous Period"
"Sep 2022","8881.9336","9906.8711","-10.34","6891.57","6891.57","15.6804","17.4896"
"Oct 2022","8285.5294","9234.8477","-10.27","6891.57","6891.57","14.1561","15.7774"
"Nov 2022","10877.9594","11501.7788","-5.42","6891.57","6891.57","19.2039","20.3062"
"Dec 2022","8440.9444","9179.8455","-8.04","6891.57","6891.57","14.421","15.6832"
"Jan 2023","8727.268","7930.8746","10.04","6891.57","6891.57","14.9108","13.5497"
"Feb 2023","8766.2788","7989.4739","9.72","6891.57","6891.57","16.5814","15.1123"
"Mar 2023","9052.6416","9456.5887","-4.27","6891.57","6891.57","15.4666","16.1565"
"Apr 2023","11858.3918","9796.0338","21.05","6891.57","6891.57","20.9352","17.2949"
"May 2023","10814.6057","11192.2599","-3.37","6891.57","6891.57","18.4772","19.1225"
"Jun 2023","7288.9866","10739.7332","-32.13","6891.57","6891.57","12.8687","18.9605"
"Jul 2023","9521.7278","9002.768","5.76","6891.57","6891.57","16.2672","15.3806"
"Aug 2023","8965.2566","9373.8642","-4.35","6891.57","6891.57","15.317","16.0153"
