"View As","Date","Scope 2","Scope 1","Scope 3","Offsets","Scope 2-12 Mth Avg","Scope 1-12 Mth Avg","Scope 3-12 Mth Avg","Offsets-12 Mth Avg","Scope 2Variance (%)","Scope 1Variance (%)","Scope 3Variance (%)","OffsetsVariance (%)","Scope 2- Variance (%)","Scope 1- Variance (%)","Scope 3- Variance (%)","Offsets- Variance (%)"
"CO2e  (t)","Oct 2021","6868.0725","2358.9359","7.8394","-30.9936","6864.915","2579.5071","4.0288","-26.634","0.04","-8.55","94.58","0","0.04","-8.55","94.58","0"
"CO2e  (t)","Nov 2021","6464.5896","5029.2329","7.9563","-30.3756","6917.3363","2818.6468","4.6609","-28.6093","-6.54","78.42","70.7","0","-6.54","78.42","70.7","0"
"CO2e  (t)","Dec 2021","7226.6851","1944.9409","8.2195","-34.6801","6952.7335","2732.5599","5.3164","-30.8321","3.94","-28.82","54.6","0","3.94","-28.82","54.6","0"
"CO2e  (t)","Jan 2022","5516.7306","2405.8858","8.2581","-30.6204","6827.1763","2773.3438","5.9746","-30.7304","-19.19","-13.24","38.22","0","-19.19","-13.24","38.22","0"
"CO2e  (t)","Feb 2022","5239.4023","2742.6469","7.4247","-25.3942","6773.7881","2797.0734","6.5679","-30.455","-22.65","-1.94","13.04","0","-22.65","-1.94","13.04","0"
"CO2e  (t)","Mar 2022","7206.4241","2241.9352","8.2294","-28.5732","6798.6732","2698.0064","7.2263","-30.2472","5.99","-16.9","13.88","0","5.99","-16.9","13.88","0"
"CO2e  (t)","Apr 2022","6242.0526","3546.0263","7.955","-27.4305","6747.3326","2841.3888","7.8605","-29.9945","-7.48","24.79","1.2","0","-7.48","24.79","1.2","0"
"CO2e  (t)","May 2022","7990.9402","3193.4533","7.8663","-28.094","6746.9164","2830.736","7.8706","-29.8576","18.43","12.81","-0.05","0","18.43","12.81","-0.05","0"
"CO2e  (t)","Jun 2022","7077.777","3654.395","7.5612","-30.9638","6778.5186","2963.4244","7.8733","-30.0878","4.41","23.31","-3.96","0","4.41","23.31","-3.96","0"
"CO2e  (t)","Jul 2022","5641.6104","3360.8201","0.3375","-29.978","6711.748","2963.412","7.2509","-29.9704","-15.94","13.41","-95.34","0","-15.94","13.41","-95.34","0"
"CO2e  (t)","Aug 2022","6397.8117","2975.7252","0.3273","-30.3984","6638.7183","2963.3995","6.6272","-29.8383","-3.62","0.41","-95.06","0","-3.62","0.41","-95.06","0"
"CO2e  (t)","Sep 2022","6774.9334","2106.6519","0.3483","-29.299","6553.9191","2963.3874","6.0269","-29.7334","3.37","-28.91","-94.22","0","3.37","-28.91","-94.22","0"
